dataset,best_params,test_accuracy,test_f1,roc_auc
BalancedSampling_sampled_data_20000_set_9,"{'n_estimators': 262, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.735598995497439,0.719326668510367,0.8503649039105955
clhs_sampled_data_20000_set_9,"{'n_estimators': 113, 'max_depth': 23, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.7506886595200956,0.7353851438331223,0.8524501432005765
FCMtp1sampled_data_20000_set_9,"{'n_estimators': 768, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5988738066000686,0.5435192072591284,0.7910846432291004
FCMtp2sampled_data_20000_set_9,"{'n_estimators': 486, 'max_depth': 13, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.638423329240096,0.5885515898846062,0.8104038499155344
FSCS_sampled_data_20000_set_9,"{'n_estimators': 991, 'max_depth': 32, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt'}",0.7546184650102878,0.7394499099719993,0.855309872042571
kmeans_sampled_data_20000_set_9,"{'n_estimators': 199, 'max_depth': 25, 'min_samples_split': 4, 'min_samples_leaf': 13, 'max_features': 'sqrt'}",0.6327812994369033,0.5929116752985487,0.7781906733541917
BalancedSampling_sampled_data_20000_set_10,"{'n_estimators': 918, 'max_depth': 16, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.7431106390981602,0.7267712466838488,0.8525532412144318
clhs_sampled_data_20000_set_10,"{'n_estimators': 37, 'max_depth': 20, 'min_samples_split': 4, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.748719480490746,0.7330938641448684,0.8507812009330763
FCMtp1sampled_data_20000_set_10,"{'n_estimators': 488, 'max_depth': 21, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_features': 'log2'}",0.6037193145486929,0.5397702583406998,0.7879723206848886
FCMtp2sampled_data_20000_set_10,"{'n_estimators': 333, 'max_depth': 8, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6216742446870887,0.5663074633148645,0.794197718564327
FSCS_sampled_data_20000_set_10,"{'n_estimators': 332, 'max_depth': 19, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",0.7499751092427679,0.7339934047778729,0.8515828402914198
kmeans_sampled_data_20000_set_10,"{'n_estimators': 84, 'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 10, 'max_features': 'sqrt'}",0.5718252519553505,0.5092690795069631,0.7389006810736517
BalancedSampling_sampled_data_20000_set_11,"{'n_estimators': 471, 'max_depth': 13, 'min_samples_split': 2, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7448696248603321,0.7300214343330851,0.8515942897810171
clhs_sampled_data_20000_set_11,"{'n_estimators': 791, 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7580675494783888,0.7441094416350007,0.8557518951611224
FCMtp1sampled_data_20000_set_11,"{'n_estimators': 636, 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.597546270175788,0.5352961860744059,0.7819811834218482
FCMtp2sampled_data_20000_set_11,"{'n_estimators': 218, 'max_depth': 13, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.6352261790182868,0.5867543664764021,0.790686657720683
FSCS_sampled_data_20000_set_11,"{'n_estimators': 749, 'max_depth': 18, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.772566371681416,0.7609844133168712,0.8584668937386037
kmeans_sampled_data_20000_set_11,"{'n_estimators': 82, 'max_depth': 14, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.65009458697023,0.6215972770632375,0.7786842549322619
BalancedSampling_sampled_data_20000_set_12,"{'n_estimators': 418, 'max_depth': 29, 'min_samples_split': 11, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.753410109189871,0.736971913650486,0.8568883869764303
clhs_sampled_data_20000_set_12,"{'n_estimators': 737, 'max_depth': 27, 'min_samples_split': 9, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.7485756640447823,0.7320405233999542,0.8538411586341564
FCMtp1sampled_data_20000_set_12,"{'n_estimators': 418, 'max_depth': 29, 'min_samples_split': 11, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.5979777195136792,0.5374978461007656,0.7900861713616074
FCMtp2sampled_data_20000_set_12,"{'n_estimators': 802, 'max_depth': 18, 'min_samples_split': 12, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6456805283594969,0.6007885112608563,0.7959289915523386
FSCS_sampled_data_20000_set_12,"{'n_estimators': 530, 'max_depth': 15, 'min_samples_split': 9, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7596685694057259,0.746199064055754,0.854245105703152
kmeans_sampled_data_20000_set_12,"{'n_estimators': 654, 'max_depth': 2, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.5596893564767184,0.49567973869172094,0.7169582968332809
BalancedSampling_sampled_data_20000_set_13,"{'n_estimators': 895, 'max_depth': 24, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.7570276459460357,0.7412149069506596,0.8566730206225218
clhs_sampled_data_20000_set_13,"{'n_estimators': 505, 'max_depth': 20, 'min_samples_split': 15, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.7499253260761343,0.7327961898455105,0.8547726476219246
FCMtp1sampled_data_20000_set_13,"{'n_estimators': 235, 'max_depth': 15, 'min_samples_split': 14, 'min_samples_leaf': 16, 'max_features': 'log2'}",0.6059871892735057,0.5407831946952334,0.7819230686087141
FCMtp2sampled_data_20000_set_13,"{'n_estimators': 467, 'max_depth': 29, 'min_samples_split': 2, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.6346619760379676,0.5810651869356864,0.8157790760664592
FSCS_sampled_data_20000_set_13,"{'n_estimators': 973, 'max_depth': 26, 'min_samples_split': 4, 'min_samples_leaf': 11, 'max_features': 'sqrt'}",0.7372281346107042,0.7185824276183594,0.8508707264415477
kmeans_sampled_data_20000_set_13,"{'n_estimators': 365, 'max_depth': 2, 'min_samples_split': 16, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.5658181496354806,0.502967135945328,0.7296567406710646
BalancedSampling_sampled_data_20000_set_14,"{'n_estimators': 452, 'max_depth': 31, 'min_samples_split': 2, 'min_samples_leaf': 14, 'max_features': 'sqrt'}",0.7243149358910536,0.7041212625562876,0.8468222041618112
clhs_sampled_data_20000_set_14,"{'n_estimators': 166, 'max_depth': 18, 'min_samples_split': 5, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.7450687553239742,0.728207475484603,0.8558348142681117
FCMtp1sampled_data_20000_set_14,"{'n_estimators': 396, 'max_depth': 22, 'min_samples_split': 13, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6037746285663713,0.5429725005245888,0.7942522832880934
FCMtp2sampled_data_20000_set_14,"{'n_estimators': 202, 'max_depth': 22, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6514553118051176,0.6162661293452317,0.8128529524968557
FSCS_sampled_data_20000_set_14,"{'n_estimators': 819, 'max_depth': 18, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7819348415288456,0.7707429853846025,0.8582071171750998
kmeans_sampled_data_20000_set_14,"{'n_estimators': 541, 'max_depth': 28, 'min_samples_split': 4, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6466761806777074,0.6147521625428713,0.7779010156726281
BalancedSampling_sampled_data_20000_set_15,"{'n_estimators': 69, 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 8, 'max_features': 'log2'}",0.7428230062062328,0.7264507165890993,0.8498412064015488
clhs_sampled_data_20000_set_15,"{'n_estimators': 846, 'max_depth': 26, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7745732523536114,0.7621666485271025,0.8593947686773251
FCMtp1sampled_data_20000_set_15,"{'n_estimators': 113, 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5890057858462492,0.5319504110366865,0.7810357472810018
FCMtp2sampled_data_20000_set_15,"{'n_estimators': 192, 'max_depth': 30, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6617769075038996,0.6292710356798623,0.7975985555461131
FSCS_sampled_data_20000_set_15,"{'n_estimators': 483, 'max_depth': 31, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7885613142319818,0.7780461839275017,0.859239286878056
kmeans_sampled_data_20000_set_15,"{'n_estimators': 392, 'max_depth': 3, 'min_samples_split': 14, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.5798125961081058,0.5168800559750312,0.7647271151606192
BalancedSampling_sampled_data_20000_set_16,"{'n_estimators': 879, 'max_depth': 17, 'min_samples_split': 2, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.7511532972685938,0.7351723807852034,0.8542141599977638
clhs_sampled_data_20000_set_16,"{'n_estimators': 568, 'max_depth': 18, 'min_samples_split': 3, 'min_samples_leaf': 14, 'max_features': 'log2'}",0.7283196707709668,0.7101428884137452,0.8478809395338373
FCMtp1sampled_data_20000_set_16,"{'n_estimators': 74, 'max_depth': 17, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.5976347726040733,0.5363541073737907,0.7824019711674663
FCMtp2sampled_data_20000_set_16,"{'n_estimators': 838, 'max_depth': 21, 'min_samples_split': 3, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.63626608255064,0.5832814843731147,0.7934442142790307
FSCS_sampled_data_20000_set_16,"{'n_estimators': 643, 'max_depth': 18, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.7738345465406996,0.7626794925263815,0.8575210133056438
kmeans_sampled_data_20000_set_16,"{'n_estimators': 839, 'max_depth': 5, 'min_samples_split': 8, 'min_samples_leaf': 8, 'max_features': 'sqrt'}",0.601152744128417,0.5501413143269379,0.7648192913252597
BalancedSampling_sampled_data_20000_set_17,"{'n_estimators': 24, 'max_depth': 27, 'min_samples_split': 13, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.755733297932362,0.7413661880917087,0.849406390826379
clhs_sampled_data_20000_set_17,"{'n_estimators': 904, 'max_depth': 15, 'min_samples_split': 2, 'min_samples_leaf': 9, 'max_features': 'log2'}",0.7355215558726893,0.717652006904434,0.8511198540836993
FCMtp1sampled_data_20000_set_17,"{'n_estimators': 283, 'max_depth': 27, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6048255949022602,0.5451127734601037,0.7918371616217394
FCMtp2sampled_data_20000_set_17,"{'n_estimators': 274, 'max_depth': 17, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6792561370902614,0.652922806832892,0.8146377533238915
FSCS_sampled_data_20000_set_17,"{'n_estimators': 249, 'max_depth': 27, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.7734634275852914,0.759936347020204,0.8566988494281078
kmeans_sampled_data_20000_set_17,"{'n_estimators': 93, 'max_depth': 18, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6497184516500172,0.6179181330537893,0.7924450958682506
BalancedSampling_sampled_data_20000_set_18,"{'n_estimators': 855, 'max_depth': 13, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7425906873319836,0.728061176670537,0.8513822284331646
clhs_sampled_data_20000_set_18,"{'n_estimators': 250, 'max_depth': 27, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7718075514696935,0.7587935849851688,0.8589700671897091
FCMtp1sampled_data_20000_set_18,"{'n_estimators': 323, 'max_depth': 31, 'min_samples_split': 9, 'min_samples_leaf': 9, 'max_features': 'sqrt'}",0.606042503291184,0.5422080039180854,0.7845244256735308
FCMtp2sampled_data_20000_set_18,"{'n_estimators': 270, 'max_depth': 29, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6436007212947905,0.5977054826321047,0.8227606218813678
FSCS_sampled_data_20000_set_18,"{'n_estimators': 907, 'max_depth': 24, 'min_samples_split': 14, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7703191548205099,0.7568884714707514,0.8570221669872453
kmeans_sampled_data_20000_set_18,"{'n_estimators': 87, 'max_depth': 23, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.6412332813381567,0.6088390454849203,0.7758805321653638
BalancedSampling_sampled_data_20000_set_19,"{'n_estimators': 874, 'max_depth': 18, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.7614748929673758,0.7476347000482964,0.8565634681160231
clhs_sampled_data_20000_set_19,"{'n_estimators': 381, 'max_depth': 11, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.725277399798657,0.7084141645505716,0.8485552031187629
FCMtp1sampled_data_20000_set_19,"{'n_estimators': 996, 'max_depth': 27, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5970484440166827,0.5405331550954052,0.7913096148547767
FCMtp2sampled_data_20000_set_19,"{'n_estimators': 175, 'max_depth': 24, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6685030920535883,0.6328038017521577,0.8002965881582879
FSCS_sampled_data_20000_set_19,"{'n_estimators': 405, 'max_depth': 27, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7724150137725809,0.7597207380603352,0.8592088985589429
kmeans_sampled_data_20000_set_19,"{'n_estimators': 689, 'max_depth': 17, 'min_samples_split': 14, 'min_samples_leaf': 13, 'max_features': 'sqrt'}",0.6324494153308331,0.592319698148761,0.7739493857713944
BalancedSampling_sampled_data_20000_set_20,"{'n_estimators': 525, 'max_depth': 29, 'min_samples_split': 13, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.7513966789463786,0.7355681876967989,0.8534917288367646
clhs_sampled_data_20000_set_20,"{'n_estimators': 994, 'max_depth': 29, 'min_samples_split': 13, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.7501244565397763,0.7336779854322333,0.8564982547722558
FCMtp1sampled_data_20000_set_20,"{'n_estimators': 995, 'max_depth': 27, 'min_samples_split': 14, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6016726958945936,0.5406833743427754,0.7896444660532441
FCMtp2sampled_data_20000_set_20,"{'n_estimators': 587, 'max_depth': 29, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.6746429480158862,0.6469268791434583,0.8073316655480463
FSCS_sampled_data_20000_set_20,"{'n_estimators': 266, 'max_depth': 28, 'min_samples_split': 14, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7642347474970961,0.7509919081223816,0.8547326890274534
kmeans_sampled_data_20000_set_20,"{'n_estimators': 753, 'max_depth': 4, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.5910524045003485,0.5373941429313127,0.7573291414538929
SRS_sampled_df_1000_set_1,"{'n_estimators': 950, 'max_depth': 8, 'min_samples_split': 3, 'min_samples_leaf': 4, 'max_features': 'log2'}",0.6649329993967203,0.6277693505382421,0.810589290192948
SRS_sampled_df_1000_set_2,"{'n_estimators': 472, 'max_depth': 24, 'min_samples_split': 16, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.662693443267306,0.6376932949432991,0.8055776045148498
SRS_sampled_df_1000_set_3,"{'n_estimators': 81, 'max_depth': 16, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.6632996325209792,0.6383716711768612,0.8055676233063543
