dataset,best_params,num_boost_round
clhs_sampled_data_1000_set_5,"{'lambda_l1': 1.5799739009986205, 'lambda_l2': 0.0017103989182981978, 'num_leaves': 91, 'feature_fraction': 0.8162014556303638, 'bagging_fraction': 0.9012178935500301, 'bagging_freq': 2, 'min_child_samples': 26, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",49
FCMtp2sampled_data_1000_set_5,"{'lambda_l1': 0.00498917761252876, 'lambda_l2': 0.00035222703058495876, 'num_leaves': 172, 'feature_fraction': 0.532991273949982, 'bagging_fraction': 0.6852562769497567, 'bagging_freq': 0, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",64
FSCS_sampled_data_1000_set_5,"{'lambda_l1': 6.138889855011851e-06, 'lambda_l2': 0.15943367681787693, 'num_leaves': 470, 'feature_fraction': 0.7023627847002508, 'bagging_fraction': 0.9744925030334592, 'bagging_freq': 13, 'min_child_samples': 49, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",58
BalancedSampling_sampled_data_1000_set_6,"{'lambda_l1': 0.11724045728607436, 'lambda_l2': 0.00031250698845342305, 'num_leaves': 64, 'feature_fraction': 0.8458214186119603, 'bagging_fraction': 0.9119602535556737, 'bagging_freq': 1, 'min_child_samples': 2, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",46
clhs_sampled_data_1000_set_6,"{'lambda_l1': 0.2664218554980473, 'lambda_l2': 1.2469547626338986e-06, 'num_leaves': 423, 'feature_fraction': 0.6937152661632339, 'bagging_fraction': 0.5069674411844365, 'bagging_freq': 4, 'min_child_samples': 39, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",41
FCMtp2sampled_data_1000_set_6,"{'lambda_l1': 0.0007768172936009567, 'lambda_l2': 3.0374823920193954e-08, 'num_leaves': 237, 'feature_fraction': 0.7449693735481075, 'bagging_fraction': 0.7536580689772583, 'bagging_freq': 1, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",63
FSCS_sampled_data_1000_set_6,"{'lambda_l1': 0.008525463741246552, 'lambda_l2': 0.0009436680029678042, 'num_leaves': 215, 'feature_fraction': 0.6864455210224705, 'bagging_fraction': 0.9595583593602965, 'bagging_freq': 1, 'min_child_samples': 5, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",43
BalancedSampling_sampled_data_1000_set_7,"{'lambda_l1': 5.3371018181682043e-08, 'lambda_l2': 0.9590788078003805, 'num_leaves': 16, 'feature_fraction': 0.5436413488851222, 'bagging_fraction': 0.6543693174897471, 'bagging_freq': 0, 'min_child_samples': 79, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",98
clhs_sampled_data_1000_set_7,"{'lambda_l1': 1.0406577176665264e-08, 'lambda_l2': 1.868181695862956e-06, 'num_leaves': 475, 'feature_fraction': 0.6826974440706918, 'bagging_fraction': 0.836726261717042, 'bagging_freq': 2, 'min_child_samples': 22, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",46
FCMtp2sampled_data_1000_set_7,"{'lambda_l1': 0.1036572281844907, 'lambda_l2': 0.00021105404330428888, 'num_leaves': 408, 'feature_fraction': 0.9345048319782582, 'bagging_fraction': 0.8488723595832148, 'bagging_freq': 3, 'min_child_samples': 6, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",96
FSCS_sampled_data_1000_set_7,"{'lambda_l1': 2.54453070785509, 'lambda_l2': 1.542023408092097e-05, 'num_leaves': 414, 'feature_fraction': 0.9997269646526473, 'bagging_fraction': 0.9912315048032849, 'bagging_freq': 12, 'min_child_samples': 37, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",66
BalancedSampling_sampled_data_1000_set_8,"{'lambda_l1': 0.0004817117978793594, 'lambda_l2': 0.0008602479346203438, 'num_leaves': 48, 'feature_fraction': 0.907600852827839, 'bagging_fraction': 0.8520138890686476, 'bagging_freq': 0, 'min_child_samples': 4, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",43
clhs_sampled_data_1000_set_8,"{'lambda_l1': 0.16239979793828915, 'lambda_l2': 0.0025859103782382886, 'num_leaves': 113, 'feature_fraction': 0.8639686469732114, 'bagging_fraction': 0.9328751226966632, 'bagging_freq': 10, 'min_child_samples': 55, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",52
FCMtp2sampled_data_1000_set_8,"{'lambda_l1': 2.1303716910237776e-07, 'lambda_l2': 0.03407241001270979, 'num_leaves': 298, 'feature_fraction': 0.7304836783235076, 'bagging_fraction': 0.8233833445822627, 'bagging_freq': 2, 'min_child_samples': 2, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",80
FSCS_sampled_data_1000_set_8,"{'lambda_l1': 0.00022376011143368553, 'lambda_l2': 1.4931553102089413e-05, 'num_leaves': 100, 'feature_fraction': 0.9671806057310994, 'bagging_fraction': 0.921864403313488, 'bagging_freq': 8, 'min_child_samples': 31, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",39
BalancedSampling_sampled_data_1000_set_9,"{'lambda_l1': 2.2006243415820702e-05, 'lambda_l2': 0.0007166323021512424, 'num_leaves': 96, 'feature_fraction': 0.4548185749168903, 'bagging_fraction': 0.9619296946520159, 'bagging_freq': 6, 'min_child_samples': 13, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",78
clhs_sampled_data_1000_set_9,"{'lambda_l1': 0.013388951011462858, 'lambda_l2': 9.374968937913985e-07, 'num_leaves': 260, 'feature_fraction': 0.4570934521929624, 'bagging_fraction': 0.9913161852328529, 'bagging_freq': 5, 'min_child_samples': 10, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",45
FCMtp2sampled_data_1000_set_9,"{'lambda_l1': 1.572764068056256e-05, 'lambda_l2': 0.05100641925570823, 'num_leaves': 269, 'feature_fraction': 0.9953967126335777, 'bagging_fraction': 0.9475686586869965, 'bagging_freq': 1, 'min_child_samples': 7, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100
FSCS_sampled_data_1000_set_9,"{'lambda_l1': 3.192080073500508, 'lambda_l2': 0.04425932303668616, 'num_leaves': 277, 'feature_fraction': 0.874493342834608, 'bagging_fraction': 0.8301686845459675, 'bagging_freq': 1, 'min_child_samples': 34, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",69
BalancedSampling_sampled_data_1000_set_10,"{'lambda_l1': 0.050473660097978705, 'lambda_l2': 1.079621183937786e-06, 'num_leaves': 510, 'feature_fraction': 0.7337322304396188, 'bagging_fraction': 0.8589363285771865, 'bagging_freq': 0, 'min_child_samples': 11, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",47
clhs_sampled_data_1000_set_10,"{'lambda_l1': 1.9291687799841992e-05, 'lambda_l2': 2.9491174724181697, 'num_leaves': 139, 'feature_fraction': 0.9975642763583183, 'bagging_fraction': 0.5782417915307142, 'bagging_freq': 1, 'min_child_samples': 18, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",49
FCMtp2sampled_data_1000_set_10,"{'lambda_l1': 2.414393458002762e-06, 'lambda_l2': 7.527105941890761e-08, 'num_leaves': 452, 'feature_fraction': 0.9619519295593291, 'bagging_fraction': 0.9115634032206077, 'bagging_freq': 1, 'min_child_samples': 4, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",99
FSCS_sampled_data_1000_set_10,"{'lambda_l1': 5.638452253904329, 'lambda_l2': 0.04352103848486164, 'num_leaves': 446, 'feature_fraction': 0.6840944521975427, 'bagging_fraction': 0.8930759372059114, 'bagging_freq': 3, 'min_child_samples': 27, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",59
BalancedSampling_sampled_data_1000_set_11,"{'lambda_l1': 0.4227406669505743, 'lambda_l2': 3.3610122580429924, 'num_leaves': 405, 'feature_fraction': 0.8573779933429899, 'bagging_fraction': 0.9044869137919365, 'bagging_freq': 2, 'min_child_samples': 12, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",65
clhs_sampled_data_1000_set_11,"{'lambda_l1': 7.415034171353885e-05, 'lambda_l2': 0.32697977995408917, 'num_leaves': 198, 'feature_fraction': 0.8670376350303388, 'bagging_fraction': 0.9441111649073669, 'bagging_freq': 6, 'min_child_samples': 37, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",47
FCMtp2sampled_data_1000_set_11,"{'lambda_l1': 9.991085397587325e-08, 'lambda_l2': 7.306218829113502e-06, 'num_leaves': 384, 'feature_fraction': 0.5831083051897528, 'bagging_fraction': 0.9734850843207413, 'bagging_freq': 6, 'min_child_samples': 6, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",96
FSCS_sampled_data_1000_set_11,"{'lambda_l1': 0.004520013031811301, 'lambda_l2': 4.9178538202955015e-08, 'num_leaves': 444, 'feature_fraction': 0.8803110551139279, 'bagging_fraction': 0.8745184867059808, 'bagging_freq': 6, 'min_child_samples': 13, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",41
BalancedSampling_sampled_data_1000_set_12,"{'lambda_l1': 0.06165354706624482, 'lambda_l2': 3.0583782127045226e-05, 'num_leaves': 265, 'feature_fraction': 0.7998134035093613, 'bagging_fraction': 0.7965239554096718, 'bagging_freq': 10, 'min_child_samples': 12, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",32
clhs_sampled_data_1000_set_12,"{'lambda_l1': 1.5174702710491162e-06, 'lambda_l2': 6.123423099735699e-05, 'num_leaves': 489, 'feature_fraction': 0.859956519296931, 'bagging_fraction': 0.7818871527380706, 'bagging_freq': 6, 'min_child_samples': 18, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",32
FCMtp2sampled_data_1000_set_12,"{'lambda_l1': 1.1638070749021099e-07, 'lambda_l2': 0.0018073516932626647, 'num_leaves': 511, 'feature_fraction': 0.49239221946265144, 'bagging_fraction': 0.8530748213129443, 'bagging_freq': 3, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",60
FSCS_sampled_data_1000_set_12,"{'lambda_l1': 8.222650090938336e-07, 'lambda_l2': 0.3768596105069298, 'num_leaves': 275, 'feature_fraction': 0.9415555492554143, 'bagging_fraction': 0.8000551796579739, 'bagging_freq': 11, 'min_child_samples': 20, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",55
BalancedSampling_sampled_data_1000_set_13,"{'lambda_l1': 2.9100268700063933e-06, 'lambda_l2': 0.052494048043579676, 'num_leaves': 138, 'feature_fraction': 0.7504400119547832, 'bagging_fraction': 0.9161600139956833, 'bagging_freq': 5, 'min_child_samples': 36, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",46
