dataset,best_params,test_accuracy,test_f1
FSCS_sampled_data_1000_set_2,"{'lambda_l1': 4.095824385912038, 'lambda_l2': 1.3056173449321553e-05, 'num_leaves': 415, 'feature_fraction': 0.8443629883859822, 'bagging_fraction': 0.8565064598936871, 'bagging_freq': 5, 'min_child_samples': 52, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6551607506878868,0.6312275166294183
kmeans_sampled_data_1000_set_2,"{'lambda_l1': 0.0052586591696168, 'lambda_l2': 7.413974365596076, 'num_leaves': 156, 'feature_fraction': 0.7516857518937905, 'bagging_fraction': 0.9404320714062262, 'bagging_freq': 7, 'min_child_samples': 11, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5918477416288063,0.5358808539256533
BalancedSampling_sampled_data_1000_set_3,"{'lambda_l1': 4.089469514318475, 'lambda_l2': 7.640937107131771e-07, 'num_leaves': 267, 'feature_fraction': 0.7196266175902005, 'bagging_fraction': 0.6618497339951379, 'bagging_freq': 1, 'min_child_samples': 92, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6518424396442185,0.6256761134358344
clhs_sampled_data_1000_set_3,"{'lambda_l1': 1.9486816374745448, 'lambda_l2': 7.1508912794877855, 'num_leaves': 14, 'feature_fraction': 0.3918644447027114, 'bagging_fraction': 0.9641048777727708, 'bagging_freq': 5, 'min_child_samples': 56, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6441911274030331,0.6212811569170292
FCMtp1sampled_data_1000_set_3,"{'lambda_l1': 2.6227900784689442e-05, 'lambda_l2': 8.575845982928383, 'num_leaves': 173, 'feature_fraction': 0.8294930370531414, 'bagging_fraction': 0.81766773771123, 'bagging_freq': 2, 'min_child_samples': 2, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.48426316126260366,0.3413859398041902
FCMtp2sampled_data_1000_set_3,"{'lambda_l1': 0.010308369983164282, 'lambda_l2': 4.678504284173474, 'num_leaves': 436, 'feature_fraction': 0.5042243513217973, 'bagging_fraction': 0.7738889822198404, 'bagging_freq': 11, 'min_child_samples': 4, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5387913303410639,0.4632648275300811
FSCS_sampled_data_1000_set_3,"{'lambda_l1': 4.568720438642131, 'lambda_l2': 1.4978551902930466, 'num_leaves': 322, 'feature_fraction': 0.6283413506668576, 'bagging_fraction': 0.9311042873333512, 'bagging_freq': 11, 'min_child_samples': 43, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6563217024855338,0.626389915614936
kmeans_sampled_data_1000_set_3,"{'lambda_l1': 1.3544668580992674e-07, 'lambda_l2': 5.010282253053225, 'num_leaves': 101, 'feature_fraction': 0.8523123008238268, 'bagging_fraction': 0.6647207528988167, 'bagging_freq': 1, 'min_child_samples': 19, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5999378388013858,0.5448313152904126
BalancedSampling_sampled_data_1000_set_4,"{'lambda_l1': 0.006135828856608876, 'lambda_l2': 9.844409131221232, 'num_leaves': 270, 'feature_fraction': 0.9422887917963265, 'bagging_fraction': 0.5429033480146381, 'bagging_freq': 15, 'min_child_samples': 94, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6520435494044409,0.6274125290472512
clhs_sampled_data_1000_set_4,"{'lambda_l1': 0.637440372170175, 'lambda_l2': 4.424636903306843, 'num_leaves': 221, 'feature_fraction': 0.6621317724985122, 'bagging_fraction': 0.7954202164275328, 'bagging_freq': 5, 'min_child_samples': 67, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6497947766310459,0.6355052017791178
FCMtp1sampled_data_1000_set_4,"{'lambda_l1': 2.066406647872019, 'lambda_l2': 0.0006097062865183621, 'num_leaves': 106, 'feature_fraction': 0.7350445400424218, 'bagging_fraction': 0.9216249985457365, 'bagging_freq': 15, 'min_child_samples': 29, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.527236660481018,0.4574101337404955
FCMtp2sampled_data_1000_set_4,"{'lambda_l1': 0.0065294201833267325, 'lambda_l2': 9.731175045793382, 'num_leaves': 175, 'feature_fraction': 0.7834498228236781, 'bagging_fraction': 0.9543054476693648, 'bagging_freq': 8, 'min_child_samples': 44, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5417348459224997,0.47977526399665205
FSCS_sampled_data_1000_set_4,"{'lambda_l1': 0.0004180849571565845, 'lambda_l2': 4.831540421737414, 'num_leaves': 2, 'feature_fraction': 0.7823992813835208, 'bagging_fraction': 0.6864669164300914, 'bagging_freq': 3, 'min_child_samples': 10, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6567787701224027,0.6302286201132358
kmeans_sampled_data_1000_set_4,"{'lambda_l1': 1.8794902440114374, 'lambda_l2': 1.1565778694433949e-07, 'num_leaves': 416, 'feature_fraction': 0.5789515681045131, 'bagging_fraction': 0.9409832365912577, 'bagging_freq': 5, 'min_child_samples': 11, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5631713180916512,0.511302797727578
BalancedSampling_sampled_data_1000_set_5,"{'lambda_l1': 4.793559848978784, 'lambda_l2': 0.005226125607937232, 'num_leaves': 172, 'feature_fraction': 0.5014571627663432, 'bagging_fraction': 0.6106952017237414, 'bagging_freq': 1, 'min_child_samples': 61, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6451267894034408,0.6171475171481464
clhs_sampled_data_1000_set_5,"{'lambda_l1': 5.22103418437542, 'lambda_l2': 3.373577191684682e-08, 'num_leaves': 185, 'feature_fraction': 0.6103656401563164, 'bagging_fraction': 0.7675832359987486, 'bagging_freq': 11, 'min_child_samples': 33, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6564313987183823,0.6349956469995233
FCMtp1sampled_data_1000_set_5,"{'lambda_l1': 1.7482634372883783, 'lambda_l2': 2.6687028887491016e-05, 'num_leaves': 483, 'feature_fraction': 0.6772788175658129, 'bagging_fraction': 0.9633170758816935, 'bagging_freq': 6, 'min_child_samples': 5, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.4852504273582405,0.35889304004506817
FCMtp2sampled_data_1000_set_5,"{'lambda_l1': 3.7926073038290813, 'lambda_l2': 1.6138378370703625, 'num_leaves': 244, 'feature_fraction': 0.7786006889922377, 'bagging_fraction': 0.9557067106193309, 'bagging_freq': 2, 'min_child_samples': 1, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.4882213669978884,0.3563797818801188
