dataset,best_params,r2,rmsle
BalancedSampling_sampled_data_1000_set_9,"{'n_estimators': 666, 'max_depth': 24, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.6984077722337154,0.6196905127645345
clhs_sampled_data_1000_set_9,"{'n_estimators': 462, 'max_depth': 20, 'min_samples_split': 11, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.7006735181868675,0.5925733221677273
FCMtp2sampled_data_1000_set_9,"{'n_estimators': 405, 'max_depth': 28, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.4030271428002722,0.7665028750010437
FSCS_sampled_data_1000_set_9,"{'n_estimators': 406, 'max_depth': 24, 'min_samples_split': 9, 'min_samples_leaf': 5, 'max_features': 'sqrt'}",0.7167511255061115,0.5355742611270554
BalancedSampling_sampled_data_1000_set_10,"{'n_estimators': 751, 'max_depth': 22, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7099302038669868,0.6042599658956054
clhs_sampled_data_1000_set_10,"{'n_estimators': 946, 'max_depth': 11, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2'}",0.7238991988578478,0.5818155360037738
FCMtp2sampled_data_1000_set_10,"{'n_estimators': 616, 'max_depth': 9, 'min_samples_split': 3, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.4810062369801681,0.6537777810440943
FSCS_sampled_data_1000_set_10,"{'n_estimators': 675, 'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt'}",0.7148984216666378,0.5814467734787498
BalancedSampling_sampled_data_1000_set_11,"{'n_estimators': 867, 'max_depth': 20, 'min_samples_split': 14, 'min_samples_leaf': 7, 'max_features': 'log2'}",0.6956070589743466,0.6036817780236756
clhs_sampled_data_1000_set_11,"{'n_estimators': 68, 'max_depth': 13, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt'}",0.7101435167899042,0.5588889744309347
FCMtp2sampled_data_1000_set_11,"{'n_estimators': 983, 'max_depth': 27, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.4299853893004951,0.7091637997147805
FSCS_sampled_data_1000_set_11,"{'n_estimators': 696, 'max_depth': 31, 'min_samples_split': 6, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.727843206683048,0.5931616295316522
BalancedSampling_sampled_data_1000_set_12,"{'n_estimators': 724, 'max_depth': 24, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.7127147148897772,0.5926250107684443
clhs_sampled_data_1000_set_12,"{'n_estimators': 101, 'max_depth': 23, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6994857406758088,0.5774275082862151
FCMtp2sampled_data_1000_set_12,"{'n_estimators': 316, 'max_depth': 10, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.4867423513917847,0.6754209892619586
FSCS_sampled_data_1000_set_12,"{'n_estimators': 833, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.7296952870419041,0.5998675103240846
BalancedSampling_sampled_data_1000_set_13,"{'n_estimators': 503, 'max_depth': 12, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.7083494590878308,0.5883536582937889
clhs_sampled_data_1000_set_13,"{'n_estimators': 334, 'max_depth': 18, 'min_samples_split': 15, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.6908713107448372,0.6004605338296684
FCMtp2sampled_data_1000_set_13,"{'n_estimators': 447, 'max_depth': 15, 'min_samples_split': 10, 'min_samples_leaf': 7, 'max_features': 'sqrt'}",0.5157868545647216,0.6399571167543174
