dataset,best_params,test_accuracy,test_f1,roc_auc
clhs_sampled_data_1000_set_3,"{'lambda_l1': 1.9486816374745448, 'lambda_l2': 7.1508912794877855, 'num_leaves': 14, 'feature_fraction': 0.3918644447027114, 'bagging_fraction': 0.9641048777727708, 'bagging_freq': 5, 'min_child_samples': 56, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6471437843372062,0.6195096451450376,0.7923380751270706
FCMtp1sampled_data_1000_set_3,"{'lambda_l1': 2.6227900784689442e-05, 'lambda_l2': 8.575845982928383, 'num_leaves': 173, 'feature_fraction': 0.8294930370531414, 'bagging_fraction': 0.81766773771123, 'bagging_freq': 2, 'min_child_samples': 2, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.465605660325615,0.2958348712696536,0.5970550354649873
FCMtp2sampled_data_1000_set_3,"{'lambda_l1': 0.010308369983164282, 'lambda_l2': 4.678504284173474, 'num_leaves': 436, 'feature_fraction': 0.5042243513217973, 'bagging_fraction': 0.7738889822198404, 'bagging_freq': 11, 'min_child_samples': 4, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.504438126753997,0.39611446546775547,0.570004921997659
FSCS_sampled_data_1000_set_3,"{'lambda_l1': 4.568720438642131, 'lambda_l2': 1.4978551902930466, 'num_leaves': 322, 'feature_fraction': 0.6283413506668576, 'bagging_fraction': 0.9311042873333512, 'bagging_freq': 11, 'min_child_samples': 43, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6548042379311291,0.6247404859934118,0.8029818634128721
kmeans_sampled_data_1000_set_3,"{'lambda_l1': 1.3544668580992674e-07, 'lambda_l2': 5.010282253053225, 'num_leaves': 101, 'feature_fraction': 0.8523123008238268, 'bagging_fraction': 0.6647207528988167, 'bagging_freq': 1, 'min_child_samples': 19, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5973234119184957,0.5357805055477541,0.6678235370039413
BalancedSampling_sampled_data_1000_set_4,"{'lambda_l1': 0.006135828856608876, 'lambda_l2': 9.844409131221232, 'num_leaves': 270, 'feature_fraction': 0.9422887917963265, 'bagging_fraction': 0.5429033480146381, 'bagging_freq': 15, 'min_child_samples': 94, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.64423683416672,0.6068353908488237,0.7857437355044746
clhs_sampled_data_1000_set_4,"{'lambda_l1': 0.637440372170175, 'lambda_l2': 4.424636903306843, 'num_leaves': 221, 'feature_fraction': 0.6621317724985122, 'bagging_fraction': 0.7954202164275328, 'bagging_freq': 5, 'min_child_samples': 67, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6511659795416526,0.631318856169111,0.8039552231980522
FCMtp1sampled_data_1000_set_4,"{'lambda_l1': 2.066406647872019, 'lambda_l2': 0.0006097062865183621, 'num_leaves': 106, 'feature_fraction': 0.7350445400424218, 'bagging_fraction': 0.9216249985457365, 'bagging_freq': 15, 'min_child_samples': 29, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.4891903503880504,0.37592921063414614,0.6197671118420525
FCMtp2sampled_data_1000_set_4,"{'lambda_l1': 0.0065294201833267325, 'lambda_l2': 9.731175045793382, 'num_leaves': 175, 'feature_fraction': 0.7834498228236781, 'bagging_fraction': 0.9543054476693648, 'bagging_freq': 8, 'min_child_samples': 44, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.5409121241761355,0.4658699319851615,0.6138164210175876
FSCS_sampled_data_1000_set_4,"{'lambda_l1': 0.0004180849571565845, 'lambda_l2': 4.831540421737414, 'num_leaves': 2, 'feature_fraction': 0.7823992813835208, 'bagging_fraction': 0.6864669164300914, 'bagging_freq': 3, 'min_child_samples': 10, 'objective': 'multiclass', 'metric': 'multi_logloss', 'boosting_type': 'gbdt', 'seed': 42, 'num_class': 7, 'device': 'cpu'}",0.6568061941806148,0.6305081758244068,0.8038343709680795
