dataset,best_params,test_accuracy,test_f1
FCMtp1sampled_data_1000_set_6,"{'n_estimators': 613, 'max_depth': 22, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2'}",0.5433894307679651,0.4796664487780231
FCMtp2sampled_data_1000_set_6,"{'n_estimators': 23, 'max_depth': 15, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.5269349958406845,0.4783408343379882
FSCS_sampled_data_1000_set_6,"{'n_estimators': 364, 'max_depth': 11, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.6681414715749636,0.6417059243918579
kmeans_sampled_data_1000_set_6,"{'n_estimators': 387, 'max_depth': 20, 'min_samples_split': 7, 'min_samples_leaf': 6, 'max_features': 'sqrt'}",0.5903577011326137,0.5325631065817384
BalancedSampling_sampled_data_1000_set_7,"{'n_estimators': 555, 'max_depth': 12, 'min_samples_split': 8, 'min_samples_leaf': 6, 'max_features': 'log2'}",0.662080754710082,0.6245084137130489
clhs_sampled_data_1000_set_7,"{'n_estimators': 709, 'max_depth': 27, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': 'log2'}",0.6759390454599472,0.6492068619662711
FCMtp1sampled_data_1000_set_7,"{'n_estimators': 739, 'max_depth': 8, 'min_samples_split': 15, 'min_samples_leaf': 9, 'max_features': 'sqrt'}",0.5347965591948296,0.45421329743846756
FCMtp2sampled_data_1000_set_7,"{'n_estimators': 159, 'max_depth': 17, 'min_samples_split': 10, 'min_samples_leaf': 5, 'max_features': 'log2'}",0.5823864415456199,0.5191331739022961
FSCS_sampled_data_1000_set_7,"{'n_estimators': 590, 'max_depth': 13, 'min_samples_split': 11, 'min_samples_leaf': 1, 'max_features': 'sqrt'}",0.666916530308155,0.6395727182313883
kmeans_sampled_data_1000_set_7,"{'n_estimators': 826, 'max_depth': 4, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt'}",0.5688206740833509,0.5099139613931656
BalancedSampling_sampled_data_1000_set_8,"{'n_estimators': 477, 'max_depth': 24, 'min_samples_split': 13, 'min_samples_leaf': 16, 'max_features': 'log2'}",0.6463941934127412,0.6048008867807207
