dataset,best_params,num_boost_round,r2,rmsle
BalancedSampling_sampled_data_1000_set_7,"{'lambda_l1': 5.3371018181682043e-08, 'lambda_l2': 0.9590788078003805, 'num_leaves': 16, 'feature_fraction': 0.5436413488851222, 'bagging_fraction': 0.6543693174897471, 'bagging_freq': 0, 'min_child_samples': 79, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",98,0.6945214398301841,0.6167510795815996
clhs_sampled_data_1000_set_7,"{'lambda_l1': 1.0406577176665264e-08, 'lambda_l2': 1.868181695862956e-06, 'num_leaves': 475, 'feature_fraction': 0.6826974440706918, 'bagging_fraction': 0.836726261717042, 'bagging_freq': 2, 'min_child_samples': 22, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",46,0.7147749061463895,0.5842565688453732
FCMtp2sampled_data_1000_set_7,"{'lambda_l1': 0.1036572281844907, 'lambda_l2': 0.00021105404330428888, 'num_leaves': 408, 'feature_fraction': 0.9345048319782582, 'bagging_fraction': 0.8488723595832148, 'bagging_freq': 3, 'min_child_samples': 6, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",96,0.36233618477900265,0.6690285148702658
FSCS_sampled_data_1000_set_7,"{'lambda_l1': 2.54453070785509, 'lambda_l2': 1.542023408092097e-05, 'num_leaves': 414, 'feature_fraction': 0.9997269646526473, 'bagging_fraction': 0.9912315048032849, 'bagging_freq': 12, 'min_child_samples': 37, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",66,0.7094191532639814,0.5846848124921229
BalancedSampling_sampled_data_1000_set_8,"{'lambda_l1': 0.0004817117978793594, 'lambda_l2': 0.0008602479346203438, 'num_leaves': 48, 'feature_fraction': 0.907600852827839, 'bagging_fraction': 0.8520138890686476, 'bagging_freq': 0, 'min_child_samples': 4, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",43,0.6958845379576637,0.5738184406643843
clhs_sampled_data_1000_set_8,"{'lambda_l1': 0.16239979793828915, 'lambda_l2': 0.0025859103782382886, 'num_leaves': 113, 'feature_fraction': 0.8639686469732114, 'bagging_fraction': 0.9328751226966632, 'bagging_freq': 10, 'min_child_samples': 55, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",52,0.7061237898273052,0.5893779839822626
FCMtp2sampled_data_1000_set_8,"{'lambda_l1': 2.1303716910237776e-07, 'lambda_l2': 0.03407241001270979, 'num_leaves': 298, 'feature_fraction': 0.7304836783235076, 'bagging_fraction': 0.8233833445822627, 'bagging_freq': 2, 'min_child_samples': 2, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",80,0.44280914603996846,0.693910625920541
FSCS_sampled_data_1000_set_8,"{'lambda_l1': 0.00022376011143368553, 'lambda_l2': 1.4931553102089413e-05, 'num_leaves': 100, 'feature_fraction': 0.9671806057310994, 'bagging_fraction': 0.921864403313488, 'bagging_freq': 8, 'min_child_samples': 31, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",39,0.7135593368383444,0.5408530497417875
BalancedSampling_sampled_data_1000_set_9,"{'lambda_l1': 2.2006243415820702e-05, 'lambda_l2': 0.0007166323021512424, 'num_leaves': 96, 'feature_fraction': 0.4548185749168903, 'bagging_fraction': 0.9619296946520159, 'bagging_freq': 6, 'min_child_samples': 13, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",78,0.6927737555712876,0.6131892309486264
clhs_sampled_data_1000_set_9,"{'lambda_l1': 0.013388951011462858, 'lambda_l2': 9.374968937913985e-07, 'num_leaves': 260, 'feature_fraction': 0.4570934521929624, 'bagging_fraction': 0.9913161852328529, 'bagging_freq': 5, 'min_child_samples': 10, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",45,0.6949880383433816,0.5755923052243852
FCMtp2sampled_data_1000_set_9,"{'lambda_l1': 1.572764068056256e-05, 'lambda_l2': 0.05100641925570823, 'num_leaves': 269, 'feature_fraction': 0.9953967126335777, 'bagging_fraction': 0.9475686586869965, 'bagging_freq': 1, 'min_child_samples': 7, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100,0.381118773339014,0.7561549336786072
FSCS_sampled_data_1000_set_9,"{'lambda_l1': 3.192080073500508, 'lambda_l2': 0.04425932303668616, 'num_leaves': 277, 'feature_fraction': 0.874493342834608, 'bagging_fraction': 0.8301686845459675, 'bagging_freq': 1, 'min_child_samples': 34, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",69,0.72049744998396,0.5521419936162696
BalancedSampling_sampled_data_1000_set_10,"{'lambda_l1': 0.050473660097978705, 'lambda_l2': 1.079621183937786e-06, 'num_leaves': 510, 'feature_fraction': 0.7337322304396188, 'bagging_fraction': 0.8589363285771865, 'bagging_freq': 0, 'min_child_samples': 11, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",47,0.7004061547620174,0.5799452619365058
clhs_sampled_data_1000_set_10,"{'lambda_l1': 1.9291687799841992e-05, 'lambda_l2': 2.9491174724181697, 'num_leaves': 139, 'feature_fraction': 0.9975642763583183, 'bagging_fraction': 0.5782417915307142, 'bagging_freq': 1, 'min_child_samples': 18, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",49,0.7148932376034611,0.5754411919954845
FCMtp2sampled_data_1000_set_10,"{'lambda_l1': 2.414393458002762e-06, 'lambda_l2': 7.527105941890761e-08, 'num_leaves': 452, 'feature_fraction': 0.9619519295593291, 'bagging_fraction': 0.9115634032206077, 'bagging_freq': 1, 'min_child_samples': 4, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",99,0.5142241512183297,0.6739945183345095
FSCS_sampled_data_1000_set_10,"{'lambda_l1': 5.638452253904329, 'lambda_l2': 0.04352103848486164, 'num_leaves': 446, 'feature_fraction': 0.6840944521975427, 'bagging_fraction': 0.8930759372059114, 'bagging_freq': 3, 'min_child_samples': 27, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",59,0.7114067575204283,0.6067834516050743
BalancedSampling_sampled_data_1000_set_11,"{'lambda_l1': 0.4227406669505743, 'lambda_l2': 3.3610122580429924, 'num_leaves': 405, 'feature_fraction': 0.8573779933429899, 'bagging_fraction': 0.9044869137919365, 'bagging_freq': 2, 'min_child_samples': 12, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",65,0.7069404935261826,0.5937344640621713
clhs_sampled_data_1000_set_11,"{'lambda_l1': 7.415034171353885e-05, 'lambda_l2': 0.32697977995408917, 'num_leaves': 198, 'feature_fraction': 0.8670376350303388, 'bagging_fraction': 0.9441111649073669, 'bagging_freq': 6, 'min_child_samples': 37, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",47,0.7115105055767639,0.5690716547906383
FCMtp2sampled_data_1000_set_11,"{'lambda_l1': 9.991085397587325e-08, 'lambda_l2': 7.306218829113502e-06, 'num_leaves': 384, 'feature_fraction': 0.5831083051897528, 'bagging_fraction': 0.9734850843207413, 'bagging_freq': 6, 'min_child_samples': 6, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",96,0.4427670913920545,0.7011214432841824
FSCS_sampled_data_1000_set_11,"{'lambda_l1': 0.004520013031811301, 'lambda_l2': 4.9178538202955015e-08, 'num_leaves': 444, 'feature_fraction': 0.8803110551139279, 'bagging_fraction': 0.8745184867059808, 'bagging_freq': 6, 'min_child_samples': 13, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",41,0.7107594185984953,0.5711469241114859
BalancedSampling_sampled_data_1000_set_12,"{'lambda_l1': 0.06165354706624482, 'lambda_l2': 3.0583782127045226e-05, 'num_leaves': 265, 'feature_fraction': 0.7998134035093613, 'bagging_fraction': 0.7965239554096718, 'bagging_freq': 10, 'min_child_samples': 12, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",32,0.6971359659315647,0.5902081068880223
clhs_sampled_data_1000_set_12,"{'lambda_l1': 1.5174702710491162e-06, 'lambda_l2': 6.123423099735699e-05, 'num_leaves': 489, 'feature_fraction': 0.859956519296931, 'bagging_fraction': 0.7818871527380706, 'bagging_freq': 6, 'min_child_samples': 18, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",32,0.6969391102013286,0.5757304194181412
FCMtp2sampled_data_1000_set_12,"{'lambda_l1': 1.1638070749021099e-07, 'lambda_l2': 0.0018073516932626647, 'num_leaves': 511, 'feature_fraction': 0.49239221946265144, 'bagging_fraction': 0.8530748213129443, 'bagging_freq': 3, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",60,0.40289960085782106,0.7177138565427058
FSCS_sampled_data_1000_set_12,"{'lambda_l1': 8.222650090938336e-07, 'lambda_l2': 0.3768596105069298, 'num_leaves': 275, 'feature_fraction': 0.9415555492554143, 'bagging_fraction': 0.8000551796579739, 'bagging_freq': 11, 'min_child_samples': 20, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",55,0.708768700997175,0.5698876708689021
BalancedSampling_sampled_data_1000_set_13,"{'lambda_l1': 2.9100268700063933e-06, 'lambda_l2': 0.052494048043579676, 'num_leaves': 138, 'feature_fraction': 0.7504400119547832, 'bagging_fraction': 0.9161600139956833, 'bagging_freq': 5, 'min_child_samples': 36, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",46,0.7060521854197211,0.5744084937933829
clhs_sampled_data_1000_set_13,"{'lambda_l1': 0.0036379000113435024, 'lambda_l2': 2.0588148178475144e-06, 'num_leaves': 243, 'feature_fraction': 0.6264015801172376, 'bagging_fraction': 0.9993947079473573, 'bagging_freq': 13, 'min_child_samples': 40, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",52,0.6962040415830416,0.5949450024821088
FCMtp2sampled_data_1000_set_13,"{'lambda_l1': 5.568681467033454e-06, 'lambda_l2': 0.8548296634437267, 'num_leaves': 250, 'feature_fraction': 0.884391246161853, 'bagging_fraction': 0.9975823543726746, 'bagging_freq': 2, 'min_child_samples': 5, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100,0.5121571118532797,0.6629418527694084
FSCS_sampled_data_1000_set_13,"{'lambda_l1': 0.0017692795928958096, 'lambda_l2': 0.0037780895828525576, 'num_leaves': 35, 'feature_fraction': 0.7838789290333276, 'bagging_fraction': 0.9698509558429236, 'bagging_freq': 14, 'min_child_samples': 53, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",66,0.711508287629827,0.5780185623206092
BalancedSampling_sampled_data_1000_set_14,"{'lambda_l1': 0.0006639991878196672, 'lambda_l2': 0.00010209808188751238, 'num_leaves': 384, 'feature_fraction': 0.6954220502077864, 'bagging_fraction': 0.8836206957074966, 'bagging_freq': 7, 'min_child_samples': 42, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",75,0.6939967066983541,0.5726302408382119
clhs_sampled_data_1000_set_14,"{'lambda_l1': 8.548882387491739e-07, 'lambda_l2': 0.032609635523636674, 'num_leaves': 213, 'feature_fraction': 0.7487462098672931, 'bagging_fraction': 0.8896020739515769, 'bagging_freq': 4, 'min_child_samples': 9, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",42,0.7066213055369011,0.5697859130874431
FCMtp2sampled_data_1000_set_14,"{'lambda_l1': 0.0007593692473652599, 'lambda_l2': 5.218744765985865e-05, 'num_leaves': 278, 'feature_fraction': 0.3345948171924332, 'bagging_fraction': 0.7859692471548676, 'bagging_freq': 3, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",51,0.3539127117268215,0.6608282759718639
FSCS_sampled_data_1000_set_14,"{'lambda_l1': 7.559267500377372e-07, 'lambda_l2': 2.7952239839765912e-08, 'num_leaves': 504, 'feature_fraction': 0.4842988017945707, 'bagging_fraction': 0.9419482337860268, 'bagging_freq': 2, 'min_child_samples': 35, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",78,0.7108375697067986,0.5960315475576501
BalancedSampling_sampled_data_1000_set_15,"{'lambda_l1': 1.8316969622611192e-08, 'lambda_l2': 3.9179320652442775, 'num_leaves': 9, 'feature_fraction': 0.858890458895517, 'bagging_fraction': 0.7032677468504102, 'bagging_freq': 11, 'min_child_samples': 19, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",58,0.6980585122180987,0.6130293705329333
clhs_sampled_data_1000_set_15,"{'lambda_l1': 0.001131466719429799, 'lambda_l2': 0.2884921229828621, 'num_leaves': 152, 'feature_fraction': 0.8772324377287918, 'bagging_fraction': 0.7047047211964788, 'bagging_freq': 12, 'min_child_samples': 47, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",61,0.7071401239658466,0.5863882109806157
FCMtp2sampled_data_1000_set_15,"{'lambda_l1': 0.025630525743032, 'lambda_l2': 0.00014199294342437092, 'num_leaves': 285, 'feature_fraction': 0.7075175081038576, 'bagging_fraction': 0.5411239814312709, 'bagging_freq': 0, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",99,0.35876184325082394,0.7214717549132323
FSCS_sampled_data_1000_set_15,"{'lambda_l1': 0.15783505147264895, 'lambda_l2': 0.00018716547497587595, 'num_leaves': 132, 'feature_fraction': 0.6721305927974962, 'bagging_fraction': 0.9151281457766315, 'bagging_freq': 3, 'min_child_samples': 61, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",42,0.710302565202273,0.5910757741872092
BalancedSampling_sampled_data_1000_set_16,"{'lambda_l1': 7.642594165132474e-06, 'lambda_l2': 4.908820178359479e-07, 'num_leaves': 403, 'feature_fraction': 0.6171673757970763, 'bagging_fraction': 0.863464574335194, 'bagging_freq': 14, 'min_child_samples': 19, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",62,0.695685771750481,0.6066327028079843
clhs_sampled_data_1000_set_16,"{'lambda_l1': 3.709213905370124e-05, 'lambda_l2': 1.2183183316596937, 'num_leaves': 16, 'feature_fraction': 0.9235515294822798, 'bagging_fraction': 0.8764711959438793, 'bagging_freq': 14, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",41,0.708772462291044,0.595176838026691
FCMtp2sampled_data_1000_set_16,"{'lambda_l1': 1.5569086709877278e-05, 'lambda_l2': 0.00018033866094109923, 'num_leaves': 138, 'feature_fraction': 0.6167143930649227, 'bagging_fraction': 0.963533661243418, 'bagging_freq': 8, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100,0.47940818540017927,0.6597858343289893
FSCS_sampled_data_1000_set_16,"{'lambda_l1': 1.4096336735094735e-06, 'lambda_l2': 1.6164262636095343e-05, 'num_leaves': 257, 'feature_fraction': 0.6735811566824091, 'bagging_fraction': 0.665556022099782, 'bagging_freq': 2, 'min_child_samples': 22, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",37,0.7142046749557667,0.5836776776334377
BalancedSampling_sampled_data_1000_set_17,"{'lambda_l1': 0.26708120475561986, 'lambda_l2': 1.0484255981473871, 'num_leaves': 294, 'feature_fraction': 0.9701792691329091, 'bagging_fraction': 0.9996427610166374, 'bagging_freq': 4, 'min_child_samples': 13, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",40,0.6973698186431907,0.6040378615043087
clhs_sampled_data_1000_set_17,"{'lambda_l1': 1.932234540107498e-07, 'lambda_l2': 9.552821825944575e-08, 'num_leaves': 387, 'feature_fraction': 0.7275005800999548, 'bagging_fraction': 0.6986746542455757, 'bagging_freq': 4, 'min_child_samples': 8, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",43,0.7059538075049138,0.5755519656893661
FCMtp2sampled_data_1000_set_17,"{'lambda_l1': 0.0002319194412883949, 'lambda_l2': 6.974215996145591, 'num_leaves': 141, 'feature_fraction': 0.6968888225225014, 'bagging_fraction': 0.9978375237971102, 'bagging_freq': 0, 'min_child_samples': 1, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",100,0.35766320094271453,0.6626425106093238
FSCS_sampled_data_1000_set_17,"{'lambda_l1': 0.00012605745277952338, 'lambda_l2': 2.408434426802692, 'num_leaves': 193, 'feature_fraction': 0.6543213969314512, 'bagging_fraction': 0.7723740717810234, 'bagging_freq': 2, 'min_child_samples': 28, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",60,0.7194338240218814,0.6115524572910601
BalancedSampling_sampled_data_1000_set_18,"{'lambda_l1': 0.0033502880480105004, 'lambda_l2': 5.287206441352306e-08, 'num_leaves': 202, 'feature_fraction': 0.633970248297205, 'bagging_fraction': 0.9648530349134316, 'bagging_freq': 9, 'min_child_samples': 6, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",39,0.6883632355675411,0.5962426226640323
clhs_sampled_data_1000_set_18,"{'lambda_l1': 4.3791009805933377e-05, 'lambda_l2': 4.0612494446731393e-07, 'num_leaves': 279, 'feature_fraction': 0.8272515252906625, 'bagging_fraction': 0.8181890480291261, 'bagging_freq': 3, 'min_child_samples': 28, 'objective': 'regression', 'metric': 'rmse', 'boosting_type': 'gbdt', 'seed': 42}",39,0.7053289109097955,0.5446669090278092
