,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
232,1.8,1.72,15.5,12.3,13.2,0.17,1.9,1.0,56.1,96.0,0.0
249,12.1,1.51,3.5,20.4,15.3,1.26,6.7,2.8,51.2,0.0,0.1
250,13.3,1.6,4.9,21.8,14.5,0.39,5.9,2.5,50.2,18.0,0.2
251,12.9,1.59,5.0,18.3,17.6,0.11,4.4,3.4,51.2,46.0,0.1
252,29.6,1.54,4.6,20.0,15.9,0.07,4.2,3.0,52.1,76.0,0.2
253,23.0,1.54,3.5,21.2,15.5,0.02,4.5,3.4,51.7,99.0,0.2
262,0.9,1.49,23.5,15.9,10.1,0.09,7.5,4.0,38.1,36.0,0.9
269,1.3,1.56,14.6,9.8,8.7,0.08,3.5,3.2,60.1,64.0,0.1
270,4.9,1.49,4.1,20.2,12.8,1.14,3.2,2.2,57.4,0.0,0.1
272,7.0,1.54,6.8,22.8,9.8,0.15,5.4,1.9,53.2,46.0,0.1
273,9.3,1.54,7.0,22.6,10.3,0.09,5.1,2.5,52.3,79.0,0.2
274,1.5,1.67,17.5,22.3,8.4,0.12,4.6,2.1,44.9,107.0,0.2
276,6.7,1.55,3.2,11.1,27.0,0.59,4.9,2.2,51.5,0.0,0.1
277,10.4,1.62,3.0,11.8,26.7,0.18,4.2,2.1,52.2,23.0,0.0
285,105.0,1.31,2.0,2.0,24.0,0.8,3.1,5.3,62.9,28.0,0.7
296,1.6,1.53,3.0,23.9,6.5,1.14,7.8,1.1,57.7,71.0,0.0
303,7.9,1.44,3.1,19.6,12.7,0.75,7.5,2.3,54.7,13.0,0.1
304,12.3,1.51,3.2,18.9,13.2,0.44,6.6,2.3,55.6,38.0,0.2
311,0.6,1.29,22.6,7.1,31.4,1.01,7.1,4.3,27.4,71.0,0.1
312,0.1,1.69,20.2,6.1,29.0,0.46,13.6,3.6,27.3,102.0,0.2
322,1.5,1.52,24.4,19.4,11.9,0.3,13.3,4.7,25.0,23.0,1.3
330,19.0,1.45,2.4,5.8,37.4,0.98,6.2,3.7,44.5,30.0,0.0
331,24.3,1.45,1.8,5.5,39.2,0.74,5.0,3.8,44.7,41.0,0.0
332,25.9,1.53,1.1,5.6,41.0,0.28,4.1,3.9,44.3,51.0,0.0
333,24.6,1.61,0.9,5.5,39.6,0.04,3.2,3.7,47.0,68.0,0.1
360,3.2,1.36,21.7,20.1,3.0,0.11,5.5,1.0,48.5,58.0,0.2
366,9.2,1.57,10.9,1.2,45.3,0.32,2.2,6.6,33.5,25.0,0.3
367,3.3,1.63,11.7,1.1,44.6,0.41,3.4,6.9,32.1,51.0,0.2
390,24.3,1.32,5.1,12.2,14.7,1.2,5.9,1.6,60.4,0.0,0.1
391,15.7,1.45,4.8,16.4,13.9,0.67,6.5,1.9,56.4,18.0,0.1
392,29.6,1.38,5.5,16.2,13.6,0.38,6.0,1.8,56.8,36.0,0.1
393,30.9,1.44,7.2,15.9,14.1,0.21,5.5,1.9,55.3,53.0,0.1
394,2.0,1.59,24.9,14.8,11.4,0.24,5.1,1.8,41.8,94.0,0.2
397,17.9,1.47,0.9,8.5,30.6,1.17,11.8,3.9,44.2,0.0,0.1
398,55.5,1.41,4.6,8.3,31.1,0.39,6.4,3.5,46.0,18.0,0.1
399,32.2,1.43,5.8,8.2,31.0,0.24,5.4,3.7,45.8,33.0,0.1
400,25.3,1.52,9.6,9.0,28.9,0.07,4.2,3.6,44.6,74.0,0.1
401,21.0,1.46,8.3,9.6,28.8,0.05,3.6,3.4,46.2,137.0,0.1
403,6.3,1.4,3.3,13.3,11.4,0.81,10.5,3.2,58.1,10.0,0.2
404,8.3,1.58,4.3,13.7,10.6,0.13,9.2,3.8,58.0,20.0,0.4
405,5.9,1.66,7.2,12.6,12.3,0.04,6.6,4.2,56.6,51.0,0.5
406,2.0,1.62,13.4,8.8,14.1,0.04,3.6,3.9,55.8,99.0,0.4
408,9.4,1.46,18.4,7.2,27.3,0.41,6.2,3.1,37.7,61.0,0.1
414,13.5,1.63,2.3,11.0,18.1,0.09,2.9,2.6,62.9,30.0,0.2
421,1.7,1.5,26.4,10.5,15.0,1.04,15.2,1.1,31.7,30.0,0.1
422,1.4,1.62,16.8,13.1,19.7,0.21,8.3,1.3,40.8,71.0,0.0
425,0.3,1.72,14.3,15.3,11.6,0.23,6.9,1.1,45.8,127.0,0.0
444,0.8,1.64,19.4,9.5,3.8,0.04,4.5,0.4,62.4,109.0,0.0
451,27.2,1.4,4.1,11.9,37.4,0.83,4.5,4.4,37.6,0.0,0.1
452,24.9,1.46,0.5,10.0,27.0,0.21,5.0,2.2,55.3,18.0,0.0
453,20.3,1.5,0.7,10.1,26.8,0.08,4.6,2.5,55.3,43.0,0.0
454,0.1,1.69,20.5,9.6,18.1,0.29,6.6,2.0,43.1,74.0,0.1
456,21.0,1.56,3.8,7.1,41.8,0.76,2.3,4.1,40.8,10.0,0.1
466,21.0,1.46,7.0,12.3,26.9,0.16,6.0,2.3,45.5,23.0,0.0
467,6.4,1.56,16.2,11.3,23.4,0.15,6.6,2.5,40.0,66.0,0.0
468,1.2,1.42,26.5,10.4,19.5,0.13,7.1,1.9,34.6,79.0,0.0
469,0.1,1.6,20.0,10.8,21.8,0.08,5.6,2.1,39.7,130.0,0.0
484,54.5,1.53,1.6,5.9,41.4,0.08,1.8,7.7,41.4,28.0,0.2
485,56.5,1.52,1.6,5.5,41.6,0.03,1.6,8.5,41.0,53.0,0.2
494,47.9,1.5,2.8,7.1,47.0,0.2,3.1,8.6,31.1,13.0,0.3
496,51.9,1.57,2.9,5.6,47.2,0.01,3.2,8.5,32.3,81.0,0.3
497,61.1,1.54,3.4,7.0,43.9,0.0,2.0,8.8,34.2,104.0,0.7
502,13.8,1.47,3.6,3.8,26.8,1.26,3.5,1.6,60.7,107.0,0.0
513,3.0,1.64,6.8,15.4,21.3,0.57,12.3,7.0,36.3,23.0,0.9
514,5.3,1.68,8.2,15.4,20.6,0.2,12.2,6.7,36.0,36.0,0.9
515,3.0,1.78,8.8,13.7,20.9,0.06,11.4,7.2,37.0,56.0,1.0
516,0.9,1.79,15.2,14.5,19.5,0.04,11.8,7.3,30.4,71.0,1.4
517,0.3,1.58,22.9,11.0,20.3,0.05,10.5,7.4,26.8,109.0,1.1
519,19.0,1.33,8.4,14.0,18.7,1.44,9.3,5.5,43.8,0.0,0.3
520,24.0,1.32,7.9,13.7,19.3,0.51,8.7,5.2,44.7,25.0,0.5
521,31.5,1.38,7.8,13.3,20.4,0.11,7.8,6.1,44.0,48.0,0.6
522,28.3,1.45,8.7,14.1,19.7,0.0,7.4,5.6,43.9,58.0,0.6
523,7.7,1.43,24.0,13.5,15.2,0.0,6.3,4.7,35.8,91.0,0.5
524,5.0,1.61,26.4,12.2,16.6,0.0,5.4,5.2,33.6,130.0,0.6
530,27.9,1.52,0.9,9.7,26.7,0.71,5.4,2.3,55.0,0.0,0.0
531,21.4,1.54,6.4,8.8,38.9,0.3,6.7,5.2,33.8,18.0,0.2
532,20.7,1.59,4.8,9.2,39.5,0.12,4.0,5.0,37.4,53.0,0.1
533,1.7,1.56,15.7,8.1,30.8,0.14,9.5,4.3,31.4,79.0,0.2
534,0.9,1.55,19.0,9.3,29.9,0.07,10.6,4.1,27.0,89.0,0.1
561,1.4,1.66,5.4,16.5,19.9,1.34,6.7,2.2,49.2,53.0,0.1
562,8.2,1.67,3.0,18.3,21.2,0.45,5.4,2.2,49.8,71.0,0.1
567,24.9,1.65,0.4,11.9,40.3,0.02,3.4,6.3,37.6,74.0,0.1
