,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
9692,43.4,1.51,0.4,3.3,41.3,0.09,0.3,5.3,49.3,20.0,0.1
10739,1.69,1.64,25.7,11.6,21.6,0.1,2.1,2.4,36.6,133.0,0.0
6785,7.07,1.66,2.4,21.1,12.4,0.53,2.9,1.3,59.9,119.0,0.0
8042,0.02,1.76,41.8,11.1,11.0,0.11,10.8,5.1,19.2,41.0,1.0
3117,0.55,1.56,5.4,23.7,1.7,0.04,18.3,0.3,50.6,152.0,0.0
17639,146.0,1.51,1.9,1.7,52.0,0.08,5.1,23.1,14.2,76.0,2.0
11967,21.0,1.17,1.3,4.5,55.9,0.95,3.2,5.9,29.2,0.0,0.0
7538,0.95,1.62,15.2,4.4,36.8,0.51,2.6,2.8,37.6,66.0,0.6
10436,36.8,1.35,0.3,3.5,57.8,2.22,5.2,2.4,30.8,0.0,0.0
6143,1.39,1.67,30.5,11.2,18.2,0.03,6.9,7.6,24.8,127.0,0.8
1384,16.05,1.59,0.5,27.9,12.8,0.08,3.0,3.2,52.4,36.0,0.2
16933,8.94,1.53,1.0,10.4,3.0,0.16,6.8,1.0,77.2,8.0,0.6
15506,5.59,1.65,3.5,19.6,14.7,0.3,5.4,1.9,54.9,28.0,0.0
13948,31.1,1.55,15.3,2.2,40.6,0.1,0.7,14.6,23.7,145.0,2.9
1346,79.5,1.42,0.9,1.0,62.9,1.13,0.3,5.5,29.4,0.0,0.0
6284,0.7,1.85,7.3,16.2,21.2,0.04,10.1,2.2,42.8,91.0,0.2
17527,21.0,1.68,6.0,0.6,30.4,0.04,2.0,33.6,7.8,142.0,19.6
15624,74.9,1.47,1.8,5.0,39.4,0.16,2.8,4.8,46.0,51.0,0.2
15990,2.19,1.61,14.6,5.1,2.0,0.04,2.5,0.1,75.7,135.0,0.0
6435,29.9,1.58,0.7,6.3,16.2,0.04,0.9,0.6,75.3,183.0,0.0
14760,2.85,1.62,20.3,17.1,6.8,0.26,12.2,1.7,41.8,30.0,0.1
