,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
8320,1.22,1.56,27.4,12.6,15.8,0.08,5.4,2.4,36.4,58.0,0.0
6330,0.01,1.63,13.0,13.3,9.2,0.34,4.7,0.9,58.9,86.0,0.0
6253,0.51,1.72,16.9,14.2,33.4,0.11,7.7,1.4,12.6,119.0,0.8
14820,134.0,1.47,0.4,0.6,68.3,0.14,0.4,5.2,25.0,43.0,0.1
17,4.5,1.75,21.4,8.4,22.8,0.2,6.0,10.2,29.1,82.0,2.1
6163,65.75,1.53,0.6,3.3,51.6,0.06,3.9,8.3,32.2,94.0,0.1
812,62.4,1.12,1.8,2.3,2.2,1.52,0.8,0.1,92.8,0.0,0.0
9009,0.26,1.49,4.6,0.6,57.0,4.14,4.8,4.9,28.0,155.0,0.1
13716,76.2,1.63,0.5,1.1,69.4,0.09,0.0,11.8,17.2,79.0,0.0
17589,25.0,1.12,5.4,4.0,0.4,1.26,88.6,0.0,1.6,53.0,0.0
5535,1.32,1.64,34.0,14.4,8.6,0.12,5.6,1.4,35.9,79.0,0.1
4947,17.95,1.48,7.0,2.5,22.7,0.11,2.0,1.8,64.0,150.0,0.0
8331,2.78,1.51,37.2,13.2,6.4,0.15,16.0,2.2,25.0,165.0,0.0
11793,0.13,1.515,40.8,3.4,19.6,0.08,7.8,4.8,21.4,127.0,2.2
14649,0.38,1.71,28.8,5.6,6.8,0.04,6.8,0.2,51.8,155.0,0.0
5396,26.25,1.37,3.6,12.6,8.3,2.39,3.0,0.9,71.6,0.0,0.0
9165,24.3,1.37,2.3,8.3,3.2,0.07,3.0,0.2,83.0,137.0,0.0
6968,30.2,0.67,17.9,4.1,16.3,11.26,0.1,7.1,54.4,0.0,0.1
17790,22.3,1.52,0.7,1.9,39.4,1.22,1.5,0.9,55.6,0.0,0.0
6457,0.02,1.15,63.6,10.6,1.2,0.2,13.2,0.2,11.2,147.0,0.0
12344,39.4,1.4,1.4,1.4,55.6,0.15,2.6,16.0,23.0,0.0,0.0
10748,0.39,1.6,2.0,10.9,23.2,1.8,3.5,2.6,57.7,79.0,0.1
5223,0.19,1.61,20.7,21.4,5.8,0.2,10.1,0.4,41.6,71.0,0.0
14829,174.0,1.38,3.1,0.2,68.4,0.16,1.8,10.1,16.4,33.0,0.0
9354,1.2,1.55,4.8,17.4,0.2,0.18,2.2,0.0,75.4,109.0,0.0
5252,45.7,1.4,0.6,3.3,2.6,0.2,1.5,0.1,91.9,33.0,0.0
17600,68.4,1.55,0.1,0.6,50.0,0.04,0.0,6.9,42.3,20.0,0.1
11993,4.77,1.67,1.1,3.9,21.2,0.54,2.0,4.4,67.4,124.0,0.0
4935,3.68,1.39,0.3,1.0,7.4,1.75,6.6,0.7,84.0,170.0,0.0
6612,10.65,1.55,1.9,23.8,8.3,1.21,2.0,1.7,62.2,0.0,0.1
13187,5.42,1.75,2.0,2.2,35.8,0.58,5.4,1.0,53.6,150.0,0.0
5676,4.02,1.58,2.2,31.7,7.9,0.29,6.0,1.6,50.4,13.0,0.2
2032,25.65,1.59,1.6,17.4,10.9,0.13,1.3,2.4,66.3,99.0,0.1
12560,0.1,1.8,11.4,11.0,37.2,0.08,7.8,5.4,27.1,178.0,0.1
14248,0.61,1.74,22.7,24.8,8.6,0.18,3.3,1.8,38.6,152.0,0.2
4442,4.39,1.73,12.0,13.1,21.2,0.15,12.5,9.9,30.4,66.0,0.9
13872,4.88,1.42,5.8,4.3,47.5,2.16,2.1,10.5,29.5,0.0,0.3
17480,14.5,1.44,1.2,1.1,34.9,0.24,2.5,1.6,58.7,38.0,0.0
5401,8.76,1.68,3.2,11.6,7.5,0.19,1.0,1.0,75.7,102.0,0.0
11791,16.7,1.57,1.6,11.2,23.9,0.14,1.3,2.1,59.9,23.0,0.0
1468,2.9,1.63,53.8,5.8,10.3,0.16,9.2,6.2,12.3,53.0,1.4
14082,0.05,1.55,27.0,37.6,6.4,0.05,10.2,1.2,17.6,140.0,0.0
14192,1.13,1.25,25.3,15.3,6.9,3.68,22.9,1.4,28.2,71.0,0.0
3873,5.48,1.16,10.9,3.4,7.4,1.81,9.6,0.6,68.1,20.0,0.0
15761,0.09,1.54,27.0,16.4,0.4,0.16,6.2,0.0,50.0,175.0,0.0
