,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
2629,0.94,1.64,22.6,16.8,1.4,0.04,6.5,0.1,52.6,117.0,0.0
3385,8.22,1.61,5.2,23.0,9.1,0.02,5.1,1.3,56.2,43.0,0.1
12256,9.73,1.69,4.7,19.8,18.6,0.11,12.7,5.6,38.2,28.0,0.4
9884,14.5,1.12,8.2,33.9,0.4,8.28,7.5,0.0,30.0,0.0,0.0
16647,16.7,1.35,1.0,26.9,7.2,0.59,4.1,1.6,59.1,0.0,0.1
10783,14.0,1.55,5.3,7.6,25.9,0.34,3.9,3.3,53.9,23.0,0.1
4699,0.1,1.38,23.2,9.8,16.6,0.49,11.5,3.0,35.6,147.0,0.2
12034,8.94,1.48,2.9,0.5,38.7,0.13,0.5,2.6,54.8,175.0,0.0
3726,6.31,1.49,0.7,13.6,27.6,0.91,4.6,1.4,52.1,0.0,0.0
4737,0.27,1.54,20.0,10.3,21.2,0.21,9.0,8.6,28.9,74.0,2.0
11411,10.5,1.59,2.8,23.8,14.6,0.23,4.0,1.4,52.5,84.0,0.0
543,2.1,1.68,29.4,21.0,3.3,0.05,2.5,0.6,43.1,142.0,0.1
869,19.0,1.6,0.7,35.2,1.5,0.1,0.6,0.3,61.7,94.0,0.0
13002,17.1,1.45,3.3,5.6,5.0,2.5,1.7,0.3,84.0,74.0,0.0
14188,0.05,1.5,63.4,11.2,2.2,0.12,8.6,0.4,14.2,165.0,0.0
5307,36.15,1.5,4.1,5.8,35.4,0.73,3.7,3.9,47.0,0.0,0.1
6209,28.9,1.52,2.5,1.1,57.7,1.23,2.4,7.7,28.6,147.0,0.0
15364,9.64,1.29,2.8,17.6,6.6,2.18,6.3,0.2,66.5,0.0,0.0
11453,17.1,1.36,4.6,5.0,37.0,1.9,6.8,4.5,42.1,51.0,0.0
10089,25.0,1.39,0.4,3.4,5.4,0.77,1.9,0.1,88.8,0.0,0.0
783,0.1,1.71,16.6,10.3,23.1,0.29,3.7,2.7,43.5,112.0,0.1
7540,64.4,1.57,0.5,4.1,55.1,0.06,0.7,2.3,37.3,25.0,0.0
1815,9.36,1.2,15.0,6.6,26.2,4.93,5.0,21.4,23.2,0.0,2.6
18259,2.63,1.75,6.5,8.1,24.6,0.34,4.4,8.4,47.5,124.0,0.5
12444,23.2,1.05,5.1,11.0,11.0,3.06,6.0,0.5,66.4,0.0,0.0
11739,138.0,1.38,2.0,0.3,67.3,0.15,4.2,3.9,22.3,15.0,0.0
