"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30,3.3
30,0.13,1.74,36.9,5.9,19,0.26,9.2,3.6,24.4,88,1
37,0.85,1.67,29.2,10.1,18.4,0.21,8.1,8.1,23.6,78,2.5
52,3.7,1.2,16.35,4.05,3.91,2.82,56.86,6.25,3.44,0,9.14
67,2.54,1.09,8.29,27.78,1.85,0.89,38.28,0.15,23.58,12,0.07
76,48.3,1.54,1.6,8.4,37.5,0.32,1.9,5.6,44.9,41,0.1
108,20,1.53,4.1,4.1,37.1,1.13,2.9,2.6,49.2,124,0
117,0.1,1.66,25.4,1.9,9.1,0.1,3.4,0.3,59.8,170,0
125,14.9,1.49,3.7,12,12.6,1.43,5.6,0.6,65,0,0
144,55.2,1.47,0.9,5.3,10.3,0.1,0.3,0.6,82.6,56,0
145,60.5,1.48,0.8,4.4,10.7,0.09,0.6,0.6,82.9,102,0
172,1.4,1.64,8.7,7.8,13.2,5.7,11.7,2.3,56,8,0.3
204,30.2,1.67,0.7,9.2,49.9,0.1,1.2,11.6,26.9,46,0.5
242,0.2,1.67,61.7,7.6,0.7,0.04,19.6,0.3,9.3,147,0.1
255,0.1,1.75,29.1,18.4,7.1,0.04,2.7,1.3,41.3,157,0.1
298,7.9,1.62,1.9,24.7,6.6,0.61,2.9,1.2,62.7,89,0
328,1.3,1.59,54.7,7.2,3.4,0.05,20.9,0.9,12.8,112,0.1
336,0.2,1.74,26.5,3.4,27.1,0.05,2.4,2.2,38.4,190,0
353,0.8,1.83,18.8,12.1,14.9,0.04,3,9.3,40.1,152,1.8
356,2.1,1.54,3.2,4.7,10,1.78,3.9,0.6,77.6,86,0
370,1.6,1.81,18.8,0.9,41.2,0.11,3.7,8.4,26.5,124,0.5
402,25,1.26,4.5,11.5,12,1.49,7.6,2.9,58.8,0,0.1
422,1.4,1.62,16.8,13.1,19.7,0.21,8.3,1.3,40.8,71,0
430,42.4,1.53,0,7,18.9,0.04,1.4,1.4,71.3,23,0
434,0.1,1.66,19.4,6.8,14.6,0.11,1.6,1,56.6,198,0
439,0.9,1.65,7,5.5,2.5,0.11,3.7,0.2,81.1,107,0
