,Ksat_cmhr,Db,Clay,VFS,MS,OC,Silt,COS,FS,Depth.cm_Top,VCOS
15983,3.05,1.52,5.7,3.8,0.5,0.02,1.4,0.0,88.6,157.0,0.0
9457,0.11,1.51,19.6,39.1,2.2,0.05,6.7,0.6,31.8,152.0,0.0
8161,27.0,1.36,2.4,15.3,19.2,1.25,3.5,2.7,56.9,0.0,0.0
12796,2.18,1.71,1.6,13.0,11.0,0.27,4.1,2.9,67.4,94.0,0.0
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30.0,3.3
10725,78.9,1.59,1.6,3.7,37.3,0.02,1.6,19.3,34.4,127.0,2.1
3867,1.0,1.78,9.5,20.4,24.0,0.06,6.1,7.2,32.4,165.0,0.4
15278,42.1,1.59,0.6,1.8,45.0,0.16,0.8,4.7,47.0,122.0,0.1
7385,5.5,1.22,1.3,27.1,13.5,1.0,5.5,0.9,51.7,0.0,0.0
2770,0.24,1.38,9.4,4.7,34.4,1.57,5.4,12.4,32.9,66.0,0.8
17318,11.4,1.63,2.9,21.5,3.2,0.14,5.6,0.2,66.6,23.0,0.0
7064,41.85,1.42,0.6,1.3,10.2,0.19,5.4,0.6,81.9,13.0,0.0
14322,48.6,1.46,3.1,3.9,5.5,2.27,4.7,0.1,82.7,66.0,0.0
6021,59.7,1.58,2.3,4.9,39.5,0.2,3.9,12.5,36.2,15.0,0.7
11498,44.0,1.35,3.1,0.5,36.2,1.17,4.4,0.8,54.9,64.0,0.0
6106,29.8,1.58,2.6,3.4,25.3,0.06,0.2,3.0,65.5,43.0,0.0
15179,56.5,1.58,2.7,3.2,43.6,0.18,4.6,8.2,37.6,23.0,0.1
8716,16.7,1.6,1.6,22.5,16.3,0.11,3.5,2.4,53.7,20.0,0.0
6576,40.1,1.47,0.4,4.7,17.1,0.3,1.9,2.1,73.8,8.0,0.0
5255,46.35,1.42,2.6,3.1,2.4,0.5,1.4,0.1,90.4,135.0,0.0
14376,0.3,1.64,27.8,21.0,4.9,0.12,3.6,1.0,41.6,91.0,0.1
506,106.5,1.41,0.4,1.3,54.7,0.2,1.5,17.3,24.1,23.0,0.7
10022,131.0,1.42,0.2,1.4,50.1,0.04,0.6,8.3,29.4,10.0,0.0
13200,27.1,1.64,0.6,1.6,43.9,0.06,2.1,0.6,51.2,132.0,0.0
12034,8.94,1.48,2.9,0.5,38.7,0.13,0.5,2.6,54.8,175.0,0.0
17836,1.82,1.61,1.0,8.8,18.2,0.893,2.8,1.3,68.9,140.0,0.0
6488,25.0,1.54,0.8,2.3,12.4,0.05,0.5,1.4,82.6,142.0,0.0
1317,8.56,1.64,6.0,7.0,11.5,0.37,2.5,0.5,72.5,112.0,0.0
11973,37.5,1.68,2.4,3.1,55.2,0.02,2.8,8.3,28.2,160.0,0.0
2274,0.04,1.78,20.2,30.6,6.0,0.28,2.8,1.0,38.4,137.0,0.0
10064,1.31,1.51,3.7,16.8,0.8,0.7,7.5,0.2,71.0,89.0,0.0
9546,41.0,1.83,1.8,19.0,5.3,0.67,2.7,0.2,71.0,107.0,0.0
11484,0.09,1.1,61.2,4.9,5.3,0.13,14.0,1.4,13.0,140.0,0.2
14990,23.0,1.54,0.8,4.3,3.7,0.15,0.8,0.1,90.3,117.0,0.0
17023,4.7,1.71,3.4,6.6,30.6,0.93,4.7,3.4,51.2,89.0,0.1
17125,4.7,1.67,3.0,7.8,35.5,0.58,5.7,5.3,42.6,20.0,0.1
8068,14.5,1.24,7.2,16.0,16.2,0.98,18.7,5.9,35.5,0.0,0.4
17942,34.2,1.48,0.8,2.2,6.0,0.42,2.6,0.2,88.2,152.0,0.0
18462,69.7,1.52,0.3,2.1,29.1,0.09,0.5,2.4,65.9,99.0,0.0
12721,53.9,1.0,18.7,1.6,3.2,3.76,67.7,3.8,3.1,0.0,1.9
7982,4.47,1.63,16.3,14.7,14.4,0.05,9.7,14.0,22.9,56.0,8.0
4306,0.05,1.79,14.6,2.7,46.0,0.4,2.1,6.8,27.7,122.0,0.1
17943,11.8,1.41,1.0,20.1,2.3,0.68,6.5,0.1,70.0,0.0,0.0
12889,53.9,1.54,1.9,3.1,0.8,0.22,1.2,0.0,93.0,8.0,0.0
6036,61.9,1.41,0.2,4.7,20.1,0.4,2.8,1.7,70.4,25.0,0.1
7722,40.8,1.11,4.0,11.0,13.3,1.6,4.7,0.9,66.1,0.0,0.0
6007,2.8,1.62,18.4,9.9,19.8,0.15,6.8,5.3,39.6,89.0,0.2
9862,13.1,1.51,1.3,25.3,1.0,0.63,1.4,0.1,70.9,0.0,0.0
16967,0.0279,1.64,22.4,9.8,21.1,0.09,4.6,2.1,39.9,137.0,0.1
18368,2.06,1.6,1.5,9.4,5.5,1.85,1.5,0.4,81.7,137.0,0.0
2537,57.2,1.48,2.9,10.4,26.0,0.36,7.0,6.7,46.7,25.0,0.3
9769,0.45,1.57,26.0,7.6,7.2,0.21,4.6,0.6,54.0,173.0,0.0
10978,3.42,1.56,21.1,4.6,8.6,0.25,0.9,0.6,64.2,145.0,0.0
8883,2.44,1.78,15.9,6.5,24.4,0.07,5.3,11.6,34.6,127.0,1.7
4882,78.2,0.86,6.7,7.1,2.2,7.27,10.9,0.2,72.9,0.0,0.0
