"X","Ksat_cmhr","Db","Clay","VFS","MS","OC","Silt","COS","FS","Depth.cm_Top","VCOS"
6,0.04,2.02,20.1,7.2,29,0.09,3.6,10.7,28.6,184,0.8
8,2.51,1.58,32.5,7.5,18.9,0.35,8.5,10.5,18.8,30,3.3
9,2.16,1.55,43.5,7.4,14.5,0.21,8.9,7.5,15.6,81,2.6
12,0.12,1.77,30.4,14.3,14.5,0.17,13.4,4,22.6,151,0.8
15,5.56,1.78,4.4,9.9,28.8,0.27,7.8,13.4,33.5,25,2.2
22,10.79,1.59,10.9,12.8,24.6,0.19,7.4,7.1,35.7,90,1.5
26,0.34,1.74,20.6,8.3,31.4,0.12,3.9,11,23.6,177,1.2
27,23.67,1.25,9.5,10.2,23.6,1.2,11.1,4.8,38.5,0,2.3
31,0.04,1.85,31.5,5.4,22.7,0.1,9.4,5.3,24.5,111,1.2
33,0.3,1.87,19.3,4.6,32.4,0.09,2.8,11.1,26,178,3.8
37,0.85,1.67,29.2,10.1,18.4,0.21,8.1,8.1,23.6,78,2.5
39,0.34,1.7,37.7,11.6,13.2,0.11,12,5.7,18.5,138,1.3
41,16.76,1.3,2.85,8.63,21.57,0.02,8.42,0.48,58.05,34,0
42,9.77,1.5,1.74,21.13,16.02,0.5,3.7,3.81,53.22,24,0.38
44,23.14,1.42,3.31,16.08,14.08,0.14,6.73,3.5,55.82,29,0.48
52,3.7,1.2,16.35,4.05,3.91,2.82,56.86,6.25,3.44,0,9.14
58,1.77,1.33,4.54,28.55,7.78,1.67,32.82,0.37,25.9,0,0.04
59,6.11,1.07,2.93,33.38,0.33,0.74,51.42,0.03,11.91,9,0
60,12,1.02,3.57,34.21,0.47,0.7,48.26,0.02,13.44,17,0.03
65,0.68,1.61,1.54,30.26,2.06,0.07,59.47,0.17,6.37,24,0.13
70,8.18,1.3,6.31,35.27,1.03,1.51,42.35,0.76,13.24,0,1.04
79,32.9,1.1,2.8,21.4,0.3,1.29,7.3,0.1,68.1,0,0
81,21.7,1.34,2.6,22.1,0.2,0.14,5.4,0,69.7,38,0
88,12.5,1.6,2.3,10.3,28.4,0.34,5.7,20.8,24.8,48,7.7
89,11.2,1.66,1.5,11.4,25.7,0.03,5.8,20.4,24.8,91,10.4
